clade_name,SubG1-S-V-PF-1_R1_001.fasta.gz,SubG2-S-V-PF-1_R1_001.fasta.gz,SubG3-S-V-PF-1_R1_001.fasta.gz,SubG1-S-V-DBT_R1_001.fasta.gz,SubG2-S-V-DBT_R1_001.fasta.gz,SubG3-S-V-DBT_R1_001.fasta.gz,SubG1-G-V-PF-1_R1_001.fasta.gz,SubG2-G-V-PF-1_R1_001.fasta.gz,SubG3-G-V-PF-1_R1_001.fasta.gz,SubG1-G-V-DBT_R1_001.fasta.gz,SubG2-G-V-DBT_R1_001.fasta.gz,SubG3-G-V-DBT_R1_001.fasta.gz
k__Archaea,0,0,0,0,0,0,0,0,18487.22602,0,0,23043.84421
k__Archaea|p__Euryarchaeota,0,0,0,0,0,0,0,0,18487.22602,0,0,23043.84421
k__Archaea|p__Euryarchaeota|c__Methanobacteria,0,0,0,0,0,0,0,0,18487.22602,0,0,23043.84421
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,0,0,0,0,0,0,0,0,18487.22602,0,0,23043.84421
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae,0,0,0,0,0,0,0,0,18487.22602,0,0,23043.84421
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium_sp_MB1,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter,0,0,0,0,0,0,0,0,18487.22602,0,0,23043.84421
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_arboriphilus,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,0,0,0,0,0,0,0,0,18487.22602,0,0,23043.84421
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Candidatus_Methanomassiliicoccus_intestinalis,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccales_unclassified,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccales_unclassified|g__Methanomassiliicoccales_unclassified,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccales_unclassified|g__Methanomassiliicoccales_unclassified|s__Methanomassiliicoccales_archaeon_RumEn_M1,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria,11970360,8779925,8414440,12797591,13735764,17930334,11125581,6780205,11720924.77,15634142,16531067,8867671.156
k__Bacteria|p__Actinobacteria,315775.7027,493853.2214,977338.8889,7600807.955,8405739.511,2870669.783,2821954.668,727465.823,1271278.535,567361.4498,5697959.583,188686.7554
k__Bacteria|p__Actinobacteria|c__Actinobacteria,207752.78,393681.3011,817381.2259,7393511.296,7145376.025,1091202.474,1354446.032,3609.103122,737139.9844,355726.7598,3629769.362,657.023838
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,0,2313.510238,4953.580828,180.446033,37679.94781,0,3516.796154,238.663216,0,0,148.779603,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,0,2313.510238,4953.580828,180.446033,37679.94781,0,3516.796154,238.663216,0,0,148.779603,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum,0,0,0,0,627.724415,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_massiliense,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183,0,0,0,0,627.724415,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces,0,2313.510238,4953.580828,180.446033,37052.22339,0,3516.796154,238.663216,0,0,148.779603,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_cardiffensis,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_europaeus,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii,0,0,0,0,0,0,0,0,0,0,0,0
