#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	SubG1_G_V_DBT_S267_L001	SubG1_G_V_PF_1_S264_L001	SubG1_S_V_DBT_S261_L001	SubG1_S_V_PF_1_S258_L001	SubG2_G_V_DBT_S268_L001	SubG2_G_V_PF_1_S265_L001	SubG2_S_V_DBT_S262_L001	SubG2_S_V_PF_1_S259_L001	SubG3_G_V_DBT_S269_L001	SubG3_G_V_PF_1_S266_L001	SubG3_S_V_DBT_S263_L001	SubG3_S_V_PF_1_S260_L001
UNCLASSIFIED	6153591.0	8885429.0	2740245.0	2952672.0	7720762.0	10474417.0	5475993.0	4559726.0	4881798.0	5635753.0	3265690.0	2784008.0
k__Bacteria	15399013.0	21856506.0	4449687.0	4638011.0	27137490.0	37918974.0	13657480.0	11384473.0	12293476.0	14048087.0	6428259.0	5497973.0
k__Bacteria|p__Bacteroidota	5423447.0	7265241.0	1837679.0	1840270.0	6581768.0	8663849.0	3942715.0	3345268.0	2979301.0	3185275.0	3045237.0	2548073.0
k__Bacteria|p__Actinomycetota	3305301.0	5331667.0	211496.0	233458.0	6517024.0	10258017.0	439847.0	262027.0	3562822.0	4597413.0	248017.0	199274.0
k__Bacteria|p__Firmicutes	1920797.0	2675365.0	342215.0	351937.0	2631359.0	3672356.0	635835.0	561147.0	1183510.0	1225588.0	894042.0	797396.0
k__Bacteria|p__Pseudomonadota	1976860.0	2778693.0	1545636.0	1682858.0	8722387.0	11776908.0	7991358.0	6631477.0	3160341.0	3593882.0	1754083.0	1548781.0
k__Bacteria|p__Fusobacteriota	1269798.0	1728960.0	338539.0	360536.0	1440606.0	1838345.0	437201.0	420313.0	814732.0	801094.0	310199.0	246205.0
k__Bacteria|p__Candidatus_Saccharibacteria	483007.0	647412.0	48630.0	40226.0	815705.0	1115280.0	22710.0	17713.0	263770.0	279279.0	58711.0	54453.0
k__Bacteria|p__Spirochaetota	730306.0	1040022.0	45182.0	47579.0	18554.0	18710.0	10799.0	8996.0	120637.0	141460.0	63807.0	54457.0
k__Bacteria|p__Campylobacterota	161919.0	221988.0	28128.0	32058.0	230632.0	328183.0	84314.0	63418.0	111153.0	125594.0	46795.0	39411.0
k__Bacteria|p__Candidatus_Absconditibacteriota	91817.0	113491.0	52182.0	48382.0	144389.0	195000.0	89868.0	74114.0	28175.0	28456.0	6607.0	7049.0
k__Bacteria|p__Candidatus_Gracilibacteria	29583.0	40332.0	0.0	707.0	35066.0	52326.0	2833.0	0.0	69035.0	70046.0	761.0	2874.0
